Index,Timestamp,Chiller_ID,Label_Type,Status
145,2018-06-03 12:00:00 SGT,,,
146,2018-06-03 12:05:00 SGT,,,
147,2018-06-03 12:10:00 SGT,,,
148,2018-06-03 12:15:00 SGT,,,
149,2018-06-03 12:20:00 SGT,,,
150,2018-06-03 12:25:00 SGT,,,
151,2018-06-03 12:30:00 SGT,,,
152,2018-06-03 12:35:00 SGT,,,
153,2018-06-03 12:40:00 SGT,,,
154,2018-06-03 12:45:00 SGT,,,
155,2018-06-03 12:50:00 SGT,,,
156,2018-06-03 12:55:00 SGT,,,
157,2018-06-03 13:00:00 SGT,,,
158,2018-06-03 13:05:00 SGT,,,
159,2018-06-03 13:10:00 SGT,,,
160,2018-06-03 13:15:00 SGT,,,
161,2018-06-03 13:20:00 SGT,,,
162,2018-06-03 13:25:00 SGT,,,
163,2018-06-03 13:30:00 SGT,,,
164,2018-06-03 13:35:00 SGT,,,
165,2018-06-03 13:40:00 SGT,,,
166,2018-06-03 13:45:00 SGT,,,
167,2018-06-03 13:50:00 SGT,,,
168,2018-06-03 13:55:00 SGT,,,
169,2018-06-03 14:00:00 SGT,,,
170,2018-06-03 14:05:00 SGT,,,
171,2018-06-03 14:10:00 SGT,,,
172,2018-06-03 14:15:00 SGT,,,
173,2018-06-03 14:20:00 SGT,,,
174,2018-06-03 14:25:00 SGT,,,
175,2018-06-03 14:30:00 SGT,,,
176,2018-06-03 14:35:00 SGT,,,
177,2018-06-03 14:40:00 SGT,,,
178,2018-06-03 14:45:00 SGT,,,
179,2018-06-03 14:50:00 SGT,,,
180,2018-06-03 14:55:00 SGT,,,
181,2018-06-03 15:00:00 SGT,,,
182,2018-06-03 15:05:00 SGT,,,
183,2018-06-03 15:10:00 SGT,,,
184,2018-06-03 15:15:00 SGT,,,
185,2018-06-03 15:20:00 SGT,,,
186,2018-06-03 15:25:00 SGT,,,
187,2018-06-03 15:30:00 SGT,,,
188,2018-06-03 15:35:00 SGT,,,
189,2018-06-03 15:40:00 SGT,,,
190,2018-06-03 15:45:00 SGT,,,
191,2018-06-03 15:50:00 SGT,,,
192,2018-06-03 15:55:00 SGT,,,
193,2018-06-03 16:00:00 SGT,,,
194,2018-06-03 16:05:00 SGT,,,
195,2018-06-03 16:10:00 SGT,,,
196,2018-06-03 16:15:00 SGT,,,
197,2018-06-03 16:20:00 SGT,,,
198,2018-06-03 16:25:00 SGT,,,
199,2018-06-03 16:30:00 SGT,,,
200,2018-06-03 16:35:00 SGT,,,
201,2018-06-03 16:40:00 SGT,,,
202,2018-06-03 16:45:00 SGT,,,
203,2018-06-03 16:50:00 SGT,,,
204,2018-06-03 16:55:00 SGT,,,
205,2018-06-03 17:00:00 SGT,,,
206,2018-06-03 17:05:00 SGT,,,
207,2018-06-03 17:10:00 SGT,,,
208,2018-06-03 17:15:00 SGT,,,
